time [s],channel_4_data.input_voltage,channel_4_data.output_voltage,
0.275156,5798,12434,
0.276,5798,12448,
0.277,5798,12448,
0.278,5791,12434,
0.279,5791,12434,
0.280004,5794,12448,
0.281,5794,12448,
0.282,5791,12434,
0.283,5791,12434,
0.284,5794,12448,
0.285,5794,12448,
0.286,5794,12448,
0.287,5794,12448,
0.288,5791,12434,
0.289,5791,12434,
0.29,5791,12448,
0.291,5791,12448,
0.292,5791,12434,
0.293,5791,12434,
0.294007,5794,12434,
0.295,5794,12434,
0.296,5798,12448,
0.297,5798,12448,
0.298,5794,12448,
0.299,5794,12448,
0.3,5791,12448,
0.301,5791,12448,
0.302,5787,12448,
0.303,5787,12448,
0.304,5791,12434,
0.305,5791,12434,
0.306,5798,12448,
0.307,5798,12448,
0.308,5794,12448,
0.309,5794,12448,
0.31,5794,12448,
0.311,5794,12448,
0.312,5791,12434,
0.313,5791,12434,
0.314,5798,12434,
0.315,5798,12434,
0.316,5794,12434,
0.31716,5794,12434,
0.318801,5794,12434,
0.320279,5791,12434,
0.321678,5791,12448,
0.322394,5791,12448,
0.323113,5791,12448,
0.323821,5798,12434,
0.324552,5798,12434,
0.32528,5798,12434,
0.326,5798,12448,
0.327,5798,12448,
0.328,5794,12448,
0.329,5794,12448,
0.33,5791,12448,
0.331,5791,12448,
0.332,5791,12448,
0.333,5791,12448,
0.334,5794,12448,
0.335,5794,12448,
0.336,5798,12448,
0.337,5798,12448,
0.338,5794,12448,
0.339,5794,12448,
0.34,5791,12448,
0.341,5791,12448,
0.342,5794,12448,
0.343,5794,12448,
0.344,5794,12434,
0.345,5794,12434,
0.346,5798,12434,
0.347,5798,12434,
0.348,5791,12448,
0.349,5791,12448,
0.35,5787,12448,
0.351,5787,12448,
0.352,5794,12434,
0.353,5794,12434,
0.354,5794,12434,
0.355,5794,12434,
0.356,5798,12434,
0.357,5798,12434,
0.358,5794,12420,
0.359,5794,12420,
0.36,5791,12434,
0.361,5791,12434,
0.362,5791,12434,
0.363,5791,12434,
0.364,5794,12434,
0.365,5794,12434,
0.366,5798,12434,
0.367,5798,12434,
0.368,5794,12448,
0.369,5794,12448,
0.37,5787,12448,
0.371,5787,12448,
0.372,5791,12448,
0.373,5791,12448,
0.374,5794,12448,
0.375,5794,12448,
0.376,5798,12448,
0.377,5798,12448,
0.378,5794,12448,
0.379,5794,12448,
0.38,5791,12448,
0.381,5791,12448,
0.382,5791,12420,
0.383215,5791,12434,
0.384866,5794,12434,
0.385593,5794,12448,
0.386334,5798,12448,
0.387022,5798,12448,
0.388,5794,12448,
0.389,5794,12448,
0.39,5791,12448,
0.391,5791,12448,
0.392,5791,12434,
0.393,5791,12434,
0.394,5794,12434,
0.395,5794,12434,
0.396,5801,12448,
0.397,5801,12448,
0.398,5794,12434,
0.399,5794,12434,
0.4,5791,12448,
0.401,5791,12448,
0.402,5791,12434,
0.403,5791,12434,
0.404,5794,12448,
0.405,5794,12448,
0.406,5798,12434,
0.407,5798,12434,
0.408,5794,12448,
0.409,5794,12448,
0.41,5791,12434,
0.411,5791,12434,
0.412,5791,12434,
0.413,5791,12434,
0.414,5798,12434,
0.415,5798,12434,
0.416,5798,12448,
0.417,5798,12448,
0.418,5791,12434,
0.419,5791,12434,
0.42,5791,12434,
0.421,5791,12434,
0.422,5791,12434,
0.423,5791,12434,
0.424,5794,12434,
0.425,5794,12434,
0.426,5801,12448,
0.427,5801,12448,
0.428,5794,12448,
0.429,5794,12448,
0.43,5791,12420,
0.431,5791,12420,
0.432,5794,12448,
0.433,5794,12448,
0.434,5798,12448,
0.435,5798,12448,
0.436,5801,12434,
0.437,5801,12434,
0.438,5794,12448,
0.439,5794,12448,
0.44,5791,12448,
0.441,5791,12448,
0.44213,5791,12434,
0.443167,5791,12434,
0.444,5794,12448,
0.445,5794,12448,
0.446,5798,12434,
0.447,5798,12434,
0.448,5794,12434,
0.449,5794,12434,
0.45,5791,12448,
0.451,5791,12448,
0.452,5791,12448,
0.453,5791,12448,
0.454,5794,12448,
0.455,5794,12448,
0.456,5798,12448,
0.457,5798,12448,
0.458,5794,12434,
0.459,5794,12434,
0.46,5791,12448,
0.461,5791,12448,
0.462,5791,12434,
0.463,5791,12434,
0.464,5794,12434,
0.465,5794,12434,
0.466,5798,12448,
0.467,5798,12448,
0.468,5794,12448,
0.469,5794,12448,
0.47,5791,12434,
0.471,5791,12434,
0.472,5791,12448,
0.47336,5798,12434,
0.474626,5798,12434,
0.475333,5798,12434,
0.476051,5801,12448,
0.477,5801,12448,
0.478,5794,12448,
0.479,5794,12448,
0.48,5791,12448,
0.481,5791,12448,
0.482,5794,12434,
0.483,5794,12434,
0.484,5794,12448,
0.485,5794,12448,
0.486,5798,12448,
0.487,5798,12448,
0.488,5794,12448,
0.489,5794,12448,
0.49,5791,12448,
0.491,5791,12448,
0.492,5794,12434,
0.493,5794,12434,
0.494,5794,12448,
0.495,5794,12448,
0.496,5798,12448,
0.497,5798,12448,
0.498,5794,12434,
0.499,5794,12434,
0.500145,5791,12448,
0.501,5791,12448,
0.502,5791,12448,
0.503,5791,12448,
0.504005,5798,12448,
0.505607,5794,12434,
0.506589,5794,12434,
0.507381,5794,12434,
0.508744,5791,12434,
0.510352,5791,12448,
0.511573,5791,12434,
0.51237,5791,12434,
0.513293,5791,12434,
0.514051,5794,12448,
0.514897,5794,12448,
0.515763,5801,12434,
0.516669,5801,12434,
0.518151,5794,12434,
0.519789,5791,12448,
0.520988,5791,12448,
0.521703,5791,12434,
0.522425,5791,12434,
0.523122,5791,12434,
0.523846,5798,12434,
0.524546,5798,12434,
0.525415,5798,12434,
0.526661,5798,12448,
0.527629,5794,12448,
0.528501,5794,12448,
0.529357,5794,12448,
0.530208,5791,12448,
0.531085,5791,12448,
0.532,5794,12448,
0.533,5794,12448,
0.534,5794,12448,
0.535,5794,12448,
0.536,5798,12434,
0.537,5798,12434,
0.53868,5794,12434,
0.54064,5791,12448,
0.541999,5791,12434,
0.5427,5791,12434,
0.543391,5791,12434,
0.544169,5798,12434,
