Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
153035142,s,0.0,0.0,0.0,0.0
153035142,G1,748,1437,994,1354,834,1726,772,1080
153035142,G2,1690,1629,1024,758,857,576,964,1811
153035142,G3,666,1514,1607,2596,867,1337,1651,1104
153035154,G4,794,1535,933,778,1078,575,770,1074
153035206,G1,746,1409,511,1297,835,1628,772,1080
153035206,G2,2459,1641,1026,754,857,578,1024,1856
153035206,G3,665,1896,1699,2029,862,1151,1540,1103
153035220,G4,773,2333,922,780,1097,575,754,1075
2025-02-22 15:30:35,W,0.0,0.0,0.0,0.0
153035721,s,0.0,0.0,0.0,0.0
153035721,G1,740,1740,922,1401,834,1853,772,1076
153035721,G2,2541,1631,1133,753,853,573,966,1830
153035739,G3,665,1817,1873,1476,856,926,2025,1100
153035742,G4,796,2326,935,777,1045,574,770,1074
153035790,G1,738,1754,818,1259,819,1661,772,1082
153035790,G2,1943,1798,1049,754,861,579,953,1756
153035806,G3,665,1995,1645,1986,853,1229,2476,1101
153035808,G4,777,2193,929,778,1033,575,770,1076
2025-02-22 15:30:35,W,0.0,0.0,0.0,0.0
153035938,s,0.0,0.0,0.0,0.0
153035938,G1,779,1547,877,1273,835,1897,773,1077
153035938,G2,2733,1737,1109,753,857,574,946,2048
153035955,G3,660,1809,1946,1784,869,1103,2153,1101
153035958,G4,778,2457,933,773,981,575,770,1076
153036007,G1,793,1688,511,1266,833,1980,772,1079
153036007,G2,2231,1460,1040,755,849,578,956,1599
153036007,G3,660,1880,1925,1569,853,904,1959,1106
153036025,G4,818,2205,937,776,1033,575,770,1077
2025-02-22 15:30:36,W,0.0,0.0,0.0,0.0
153036171,s,0.0,0.0,0.0,0.0
153036171,G1,737,2002,757,1318,825,1807,772,1083
153036171,G2,1717,1419,1091,754,862,577,944,1828
153036171,G3,664,2257,2052,1490,871,1251,1660,1111
153036187,G4,819,1426,931,777,813,580,770,1074
153036241,G1,821,1386,511,1457,834,1475,772,1080
153036241,G2,1913,1884,1110,753,857,580,937,1933
153036241,G3,662,2674,1967,1873,857,1291,1758,1118
153036253,G4,854,1535,930,774,511,574,770,1077
2025-02-22 15:30:36,W,0.0,0.0,0.0,0.0
153036404,s,0.0,0.0,0.0,0.0
153036404,G1,809,2022,756,1498,817,1641,772,1080
153036404,G2,1656,1437,1086,753,857,578,938,1986
153036404,G3,658,2253,2347,1456,878,953,2055,1115
153036415,G4,890,2355,931,777,758,575,770,1077
153036458,G1,777,1410,989,1541,823,1889,772,1081
153036473,G2,1800,1641,1118,755,857,579,961,2113
153036477,G3,658,1570,2332,1548,866,1125,1896,1108
153036480,G4,869,1973,931,774,993,575,771,1079
2025-02-22 15:30:36,W,0.0,0.0,0.0,0.0
153036621,s,0.0,0.0,0.0,0.0
153036621,G1,746,1761,511,1357,831,1385,771,1078
153036621,G2,2089,1710,1081,754,866,583,952,1740
153036636,G3,663,1962,1890,2019,856,1159,1670,1109
153036643,G4,837,2529,930,777,757,573,770,1080
153036692,G1,729,1873,930,1505,807,1873,772,1087
153036692,G2,1872,1378,1102,753,849,580,909,1901
153036706,G3,674,1594,2566,1386,860,1292,1541,1119
153036708,G4,859,2483,923,776,573,575,770,1079
2025-02-22 15:30:36,W,0.0,0.0,0.0,0.0
153036869,s,0.0,0.0,0.0,0.0
153036869,G1,831,1455,1034,1305,799,1717,772,1074
153036885,G2,1579,1610,1230,754,861,576,937,1767
153036885,G3,657,1858,2135,1546,861,1117,2220,1114
153036895,G4,924,1698,937,770,985,573,770,1080
153036940,G1,761,1676,768,1619,840,2325,774,1083
153036940,G2,3431,1622,1129,754,865,575,964,1785
153036957,G3,658,1761,1737,1378,853,1414,1805,1108
153036960,G4,906,1962,937,775,511,573,770,1077
2025-02-22 15:30:36,W,0.0,0.0,0.0,0.0
153037105,s,0.0,0.0,0.0,0.0
153037105,G1,769,1517,1026,1499,834,2066,772,1085
153037105,G2,1770,1239,1222,757,866,580,942,1605
153037105,G3,659,1882,2092,1555,868,1132,2060,1122
153037123,G4,905,3237,937,769,881,571,770,1078
153037174,G1,729,1590,1036,1100,811,1825,772,1080
153037174,G2,2461,1579,1100,758,859,577,963,1835
153037174,G3,658,1831,1880,1627,859,1329,1728,1118
153037188,G4,986,2104,934,773,936,573,770,1078
2025-02-22 15:30:37,W,0.0,0.0,0.0,0.0
153037321,s,0.0,0.0,0.0,0.0
153037321,G1,781,1994,1034,1426,799,2391,774,1080
153037321,G2,1708,1265,1161,760,862,580,934,1811
153037321,G3,658,1831,2236,1315,872,1122,2125,1127
153037339,G4,839,3289,935,774,1041,573,770,1078
153037394,G1,764,1302,511,1323,834,2125,773,1081
153037397,G2,2583,1430,1201,757,858,575,938,1855
153037401,G3,658,2054,2140,1309,877,1011,1955,1130
153037404,G4,908,2361,934,769,994,573,770,1078
2025-02-22 15:30:37,W,0.0,0.0,0.0,0.0
153037556,s,0.0,0.0,0.0,0.0
153037556,G1,850,1623,511,1384,803,1712,773,1075
153037559,G2,2873,1511,1181,754,857,579,1001,1651
153037563,G3,656,1681,1559,2131,870,1340,2002,1118
153037566,G4,865,2796,934,777,983,573,770,1078
153037622,G1,756,1679,1025,1481,837,1779,774,1076
153037623,G2,2146,1411,1201,758,857,578,913,1730
153037623,G3,660,1723,1933,1729,873,1379,2108,1119
153037632,G4,921,2135,937,778,939,571,770,1081
2025-02-22 15:30:37,W,0.0,0.0,0.0,0.0
153037787,s,0.0,0.0,0.0,0.0
153037787,G1,818,1887,1024,1337,837,1446,771,1075
153037787,G2,3157,1337,1146,758,866,584,1003,1576
153037804,G3,652,1547,2001,1749,873,1312,1800,1129
153037807,G4,949,2742,938,770,985,574,770,1082
153037857,G1,866,2188,1145,1091,830,2290,774,1075
153037857,G2,2093,1418,1190,761,866,581,915,1905
153037857,G3,660,1324,1565,2048,865,1746,1670,1123
153037872,G4,951,2502,936,770,972,573,770,1081
2025-02-22 15:30:37,W,0.0,0.0,0.0,0.0
153038004,s,0.0,0.0,0.0,0.0
153038004,G1,754,1943,1049,1513,837,1508,772,1076
153038004,G2,3271,1338,1321,761,866,579,962,1898
153038004,G3,651,1537,1705,1529,889,1591,2773,1128
153038023,G4,1042,2153,937,753,940,572,770,1087
153038078,G1,747,1465,1024,1418,838,1325,771,1075
153038081,G2,1841,1481,1151,757,868,580,930,1889
153038085,G3,658,1597,1612,1402,861,1062,1796,1126
153038088,G4,966,2710,939,773,985,572,770,1084
2025-02-22 15:30:38,W,0.0,0.0,0.0,0.0
153038238,s,0.0,0.0,0.0,0.0
153038238,G1,841,2116,1057,1386,833,1475,771,1078
153038238,G2,2655,1322,1378,765,861,580,928,1673
153038238,G3,659,1305,1971,1611,874,1140,1620,1129
153038251,G4,1094,2732,945,778,1033,573,770,1086
153038306,G1,857,1452,1030,1234,838,1951,773,1075
153038310,G2,1514,1393,1272,762,866,582,947,1701
153038313,G3,674,1826,1433,1414,868,1533,1565,1123
153038317,G4,921,2733,938,773,1025,575,770,1080
2025-02-22 15:30:38,W,0.0,0.0,0.0,0.0
153038469,s,0.0,0.0,0.0,0.0
153038469,G1,830,1622,1058,1337,838,1231,771,1078
153038469,G2,1901,1321,1233,762,865,579,943,1723
153038469,G3,648,1352,1827,1730,902,1717,2424,1133
153038479,G4,819,2119,939,769,910,575,770,1083
153038524,G1,769,1925,1032,1273,833,2457,774,1078
153038539,G2,2541,1715,1294,761,861,575,917,2228
153038540,G3,678,1292,2006,1752,886,1268,1854,1139
153038546,G4,511,2149,937,774,879,573,771,1086
2025-02-22 15:30:38,W,0.0,0.0,0.0,0.0
153038673,s,0.0,0.0,0.0,0.0
153038673,G1,913,1887,1162,1353,841,1536,771,1081
153038688,G2,2476,1379,1366,761,876,578,965,2011
153038688,G3,657,1436,1433,1529,873,1799,2086,1121
153038695,G4,952,1565,937,769,965,577,770,1080
153038740,G1,785,1360,1041,1234,841,2316,773,1074
153038740,G2,2313,1290,1273,757,891,581,992,1618
153038758,G3,652,2077,1996,1174,905,1429,2833,1143
153038761,G4,1078,1677,939,777,968,573,771,1083
153038808,G1,798,1647,1065,1196,841,1599,772,1079
153038808,G2,2782,1384,1414,761,870,582,953,1874
153038825,G3,657,1650,1785,1442,875,1503,1780,1131
153038827,G4,1150,1847,937,781,511,573,770,1085
2025-02-22 15:30:38,W,0.0,0.0,0.0,0.0
153038940,s,0.0,0.0,0.0,0.0
