Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
111908783,s,0.0,0.0,0.0,0.0
111908783,G1,1875,1129,1901,1634,2072,1404,771,1636
111908783,G2,2017,2678,1771,892,2914,656,949,2584
111908783,G3,1067,1805,1407,2009,1900,1671,1218,3331
111908793,G4,1617,1258,1297,887,1873,701,753,1432
111908850,G1,1599,1159,1941,1335,1688,1677,771,1562
111908854,G2,2515,2607,2124,922,2829,655,949,2415
111908858,G3,1043,1766,1338,2231,1934,1840,1184,2519
111908860,G4,2140,1347,1266,862,1905,691,769,1497
2025-02-24 11:19:08,W,0.0,0.0,0.0,0.0
111908980,s,0.0,0.0,0.0,0.0
111908980,G1,1862,1185,1955,1385,1736,1820,771,1522
111908980,G2,2294,2631,1890,913,3200,652,940,2468
111908997,G3,1185,1657,1305,1712,1833,1763,1168,2596
111909000,G4,2326,1305,1388,838,1869,701,753,1391
111909047,G1,1771,1169,1721,1305,1974,2668,774,1451
111909047,G2,1540,3287,2049,901,2426,663,953,2791
111909064,G3,1160,2168,1428,1833,2246,1536,1240,2482
111909064,G4,2058,1338,1317,859,2146,682,769,1441
2025-02-24 11:19:09,W,0.0,0.0,0.0,0.0
111909196,s,0.0,0.0,0.0,0.0
111909196,G1,1310,1161,2182,1292,1585,1701,771,1536
111909196,G2,1768,2706,2230,913,2506,664,958,2933
111909212,G3,1024,1892,1360,2347,1962,1703,1170,1986
111909217,G4,1708,1321,1401,842,2185,699,753,1446
111909265,G1,2230,1166,1708,1310,1773,1536,771,1724
111909265,G2,2753,2710,1864,900,2531,664,926,2623
111909281,G3,971,1799,1418,1901,1813,1988,1130,2308
111909281,G4,2715,1287,1286,890,2334,681,769,1434
2025-02-24 11:19:09,W,0.0,0.0,0.0,0.0
111909459,s,0.0,0.0,0.0,0.0
111909459,G1,2048,1188,1709,1417,1409,1653,771,1519
111909459,G2,2048,1847,1964,922,2594,668,920,2137
111909459,G3,1086,1703,1309,1626,1677,1420,1156,3055
111909472,G4,2690,1259,1268,815,1873,721,769,1380
111909515,G1,1606,1163,2074,1241,1513,2110,772,1570
111909531,G2,2765,2713,1776,926,2647,671,916,3379
111909531,G3,1185,2119,1388,1959,1734,1734,1364,2222
111909531,G4,2211,1247,1329,861,2139,719,753,1503
2025-02-24 11:19:09,W,0.0,0.0,0.0,0.0
111909676,s,0.0,0.0,0.0,0.0
111909676,G1,1902,1110,1913,1377,1751,2942,774,1923
111909676,G2,2427,2482,1595,970,2282,661,916,2563
111909685,G3,1105,1719,1387,2491,1879,1544,1401,2669
111909689,G4,1258,1321,1631,876,1845,711,769,1465
111909747,G1,2412,1243,1623,1257,1633,2518,773,1638
111909750,G2,2338,2283,1777,933,2405,675,929,2475
111909754,G3,1113,1458,1314,1813,1754,1880,1375,2015
111909756,G4,1877,1243,1438,861,1970,723,769,1376
2025-02-24 11:19:09,W,0.0,0.0,0.0,0.0
111909896,s,0.0,0.0,0.0,0.0
111909896,G1,1966,1121,1522,1117,1617,2152,772,1937
111909901,G2,2011,2619,1876,925,2927,653,936,2525
111909901,G3,993,2178,1575,2162,1771,1672,1342,2560
111909907,G4,1627,1257,1585,862,2009,766,770,1277
111909964,G1,1594,1168,2025,1405,1993,1886,772,1539
111909965,G2,1686,3372,1449,977,1865,666,941,2888
111909965,G3,978,1850,1355,2605,1662,1523,1272,2900
111909965,G4,1826,1194,1505,862,1963,728,769,1461
2025-02-24 11:19:09,W,0.0,0.0,0.0,0.0
111910111,s,0.0,0.0,0.0,0.0
111910111,G1,2305,1106,1497,1387,2227,2366,773,1992
111910111,G2,1553,2186,1563,931,2401,656,944,2827
111910111,G3,1049,1465,1370,2409,1802,1589,1197,2157
111910125,G4,1710,1177,1737,851,1761,699,753,1475
111910181,G1,2374,1158,1624,1228,1856,2864,774,1962
111910181,G2,1999,3152,1962,915,2011,671,917,3466
111910181,G3,1128,2352,1586,1728,1538,1807,1279,2048
111910181,G4,1796,1226,1515,861,1956,712,769,1405
2025-02-24 11:19:10,W,0.0,0.0,0.0,0.0
111910360,s,0.0,0.0,0.0,0.0
111910360,G1,1425,1078,1490,1378,2021,1626,771,1627
111910360,G2,1968,1967,1730,931,2264,665,952,2334
111910377,G3,956,1757,1494,1735,1626,1416,1320,2142
111910380,G4,1610,1139,1586,849,1905,731,769,1527
111910431,G1,1778,1186,1719,1298,2052,2577,773,1610
111910431,G2,1842,2030,2090,902,3660,656,940,2837
111910431,G3,930,2359,1453,1658,1498,1550,1272,2122
111910448,G4,1702,1218,1569,860,2097,743,770,1408
2025-02-24 11:19:10,W,0.0,0.0,0.0,0.0
111910579,s,0.0,0.0,0.0,0.0
111910579,G1,2343,1141,1464,1269,2117,3256,775,1828
111910579,G2,1697,1965,2001,872,2880,663,925,2526
111910595,G3,1033,2418,1630,1670,1595,1886,1220,2008
111910597,G4,1993,1251,1372,870,2073,723,770,1401
111910655,G1,1473,1145,1339,1162,1609,2029,772,1629
111910658,G2,2169,2684,2512,898,2645,659,914,3604
111910662,G3,1052,1914,1458,2063,1717,1521,1297,2485
111910666,G4,1842,1177,1497,861,1809,706,753,1495
2025-02-24 11:19:10,W,0.0,0.0,0.0,0.0
111910796,s,0.0,0.0,0.0,0.0
111910796,G1,2529,1152,1881,1379,1980,1727,771,2163
111910796,G2,1346,3201,1941,703,2419,675,924,3052
111910813,G3,1024,1705,1578,1523,1845,1426,1262,2070
111910817,G4,1666,1210,1374,836,1863,684,770,1445
111910864,G1,1738,1121,1917,1362,2022,1983,772,1735
111910864,G2,2001,2319,1802,985,1993,656,939,2297
111910880,G3,1182,2010,1481,2025,1777,1769,1174,2502
111910880,G4,1607,1141,1701,850,2007,736,769,1451
2025-02-24 11:19:10,W,0.0,0.0,0.0,0.0
111911013,s,0.0,0.0,0.0,0.0
111911013,G1,1391,1186,1733,1298,1537,2275,772,1501
111911013,G2,1707,2866,1560,989,2196,674,914,3680
111911029,G3,1042,1921,1465,1546,1841,1831,1467,2102
111911033,G4,1938,1195,1498,828,2342,730,770,1494
111911081,G1,1682,1161,1514,1151,1517,2786,774,1998
111911081,G2,1957,2156,2267,943,3353,655,939,1947
111911098,G3,994,1853,1369,1606,1965,1436,1360,2088
111911098,G4,1495,1116,1721,849,2096,716,753,1409
2025-02-24 11:19:11,W,0.0,0.0,0.0,0.0
111911231,s,0.0,0.0,0.0,0.0
111911231,G1,2193,1132,1645,1043,1653,2488,773,1716
111911245,G2,1793,2918,2268,695,2375,670,907,2860
111911245,G3,511,1993,1529,2133,1673,2611,1444,1833
111911250,G4,1770,1202,1581,845,1814,731,770,1499
111911298,G1,1593,1170,1672,1129,1449,2092,772,1494
111911298,G2,1405,2796,2359,930,2202,662,909,3012
111911314,G3,1048,1873,1466,2092,1868,1911,1579,2196
