Serpentine Scan Parameters
X Total Distance (mm),16
Y Total Distance (mm),16
Step Size (mm),0.5
Start from Center,True

Step Number,X Position (mm),Y Position (mm)
634,327.65953063964844,437.1018981933594
635,327.15240478515625,437.10166931152344
636,326.67327880859375,437.1014404296875
637,326.1838150024414,437.1002960205078
638,325.6768798828125,437.0998001098633
639,325.16685485839844,437.0987319946289
640,324.68971252441406,437.09781646728516
641,324.18251037597656,437.0970153808594
642,323.6631393432617,437.0964813232422
643,323.19297790527344,437.09503173828125
644,322.6769256591797,437.09423065185547
645,322.16712951660156,437.0941925048828
646,321.6835403442383,437.09354400634766
647,321.1909484863281,437.0928955078125
648,320.6426239013672,437.09278106689453
649,320.1650619506836,437.0927429199219
650,319.6925163269043,437.09228515625
651,319.1852569580078,437.0920181274414
652,318.6669158935547,437.0917510986328
653,318.1710433959961,437.09156036376953
654,317.6633644104004,437.0914840698242
655,317.1682357788086,437.091064453125
656,316.6853332519531,437.0909881591797
657,316.19836807250977,437.09095001220703
658,315.6634521484375,437.0908737182617
659,315.1806449890137,437.09075927734375
660,315.1654815673828,437.6256561279297
661,315.6443977355957,437.62508392333984
662,316.10721588134766,437.62508392333984
663,316.62818908691406,437.62462615966797
664,317.1562194824219,437.62325286865234
665,317.64074325561523,437.62229919433594
666,318.16051483154297,437.6202392578125
667,318.67517471313477,437.6166534423828
668,319.1625213623047,437.6128387451172
669,319.67567443847656,437.6106643676758
670,320.17364501953125,437.6092529296875
671,320.6570816040039,437.6084899902344
672,321.17305755615234,437.6078796386719
673,321.6615295410156,437.60684967041016
674,322.1628952026367,437.6060104370117
675,322.67333984375,437.60536193847656
676,323.16200256347656,437.60520935058594
677,323.6812973022461,437.60498046875
678,324.1708755493164,437.60440826416016
679,324.6775436401367,437.60398864746094
680,325.17723083496094,437.60379791259766
681,325.65948486328125,437.60379791259766
682,326.17462158203125,437.60223388671875
683,326.6651916503906,437.6025390625
684,327.1678924560547,437.60162353515625
685,327.6749038696289,437.60189056396484
686,328.1607437133789,437.601318359375
687,328.681640625,437.60059356689453
688,329.173583984375,437.60021209716797
689,329.6762466430664,437.6003646850586
690,330.1778030395508,437.60021209716797
691,330.6597900390625,437.5999069213867
692,331.1751937866211,437.59979248046875
693,331.17431640625,438.09520721435547
694,330.63419342041016,438.09497833251953
695,330.1552200317383,438.09478759765625
696,329.65267181396484,438.0949020385742
697,329.16015625,438.09520721435547
698,328.6548614501953,438.09471130371094
699,328.1545639038086,438.09486389160156
700,327.66944885253906,438.09505462646484
701,327.1625518798828,438.0946350097656
702,326.6761016845703,438.09452056884766
703,326.1758041381836,438.09459686279297
704,325.6439971923828,438.0949020385742
705,325.16761779785156,438.0947494506836
706,324.6897506713867,438.0945587158203
707,324.18548583984375,438.09478759765625
708,323.66355895996094,438.0950164794922
709,323.19469451904297,438.0945587158203
710,322.6768493652344,438.0946350097656
711,322.1739959716797,438.0945587158203
712,321.67762756347656,438.0948257446289
713,321.18736267089844,438.09436798095703
714,320.6438446044922,438.09486389160156
715,320.1808166503906,438.0945587158203
716,319.66041564941406,438.0944061279297
717,319.1833305358887,438.0942153930664
718,318.66371154785156,438.09436798095703
719,318.18172454833984,438.0943298339844
720,317.6634979248047,438.0943298339844
721,317.1502113342285,438.0948257446289
722,316.68506622314453,438.0944061279297
723,316.1860466003418,438.09391021728516
724,315.64430236816406,438.09417724609375
725,315.1853561401367,438.09391021728516
726,315.16834259033203,438.59920501708984
727,315.6423568725586,438.59859466552734
728,316.11316680908203,438.59867095947266
729,316.62723541259766,438.597412109375
730,317.159423828125,438.59630584716797
731,317.63965606689453,438.5957717895508
732,318.15990447998047,438.59485626220703
733,318.6686897277832,438.59493255615234
734,319.1641616821289,438.5940170288086
735,319.6713066101074,438.5929489135742
736,320.17356872558594,438.5933303833008
737,320.65738677978516,438.5926818847656
738,321.1687469482422,438.592529296875
739,321.66194915771484,438.5919189453125
740,322.1702575683594,438.59195709228516
741,322.67269134521484,438.59188079833984
742,323.16200256347656,438.59134674072266
743,323.6808776855469,438.5911178588867
744,324.1725158691406,438.5911178588867
745,324.6775817871094,438.5911178588867
746,325.1760482788086,438.59046936035156
747,325.6589126586914,438.59058380126953
748,326.17542266845703,438.5906982421875
749,326.6636276245117,438.59073638916016
750,327.16957092285156,438.5899353027344
751,327.6730728149414,438.59039306640625
752,328.16261291503906,438.59039306640625
753,328.68309020996094,438.590087890625
754,329.17415618896484,438.58985900878906
755,329.67674255371094,438.5898208618164
756,330.17520904541016,438.58978271484375
757,330.6612014770508,438.5895538330078
758,331.17515563964844,438.5895538330078
759,331.17557525634766,439.0634536743164
760,330.6781768798828,439.1134262084961
761,330.155029296875,439.1105651855469
762,329.6614074707031,439.1090774536133
763,329.15855407714844,439.1059112548828
764,328.6551284790039,439.09278869628906
765,328.15895080566406,439.09107208251953
766,327.6613998413086,439.0908432006836
767,327.1512985229492,439.0910339355469
768,326.67407989501953,439.0910339355469
769,326.1729049682617,439.0903091430664
770,325.64380645751953,439.09088134765625
771,325.1832580566406,439.0907287597656
772,324.6851348876953,439.09027099609375
