Serpentine Scan Parameters
X Total Distance (mm),16
Y Total Distance (mm),16
Step Size (mm),0.5
Start from Center,True

Step Number,X Position (mm),Y Position (mm)
1,315.67325592041016,425.18978118896484
2,316.15861892700195,425.1924133300781
3,316.6509819030762,425.1992416381836
4,317.1613311767578,425.2252197265625
5,317.6564407348633,425.22560119628906
6,318.17161560058594,425.22594451904297
7,318.65928649902344,425.2264404296875
8,319.1602325439453,425.22796630859375
9,319.67206954956055,425.23223876953125
10,320.16685485839844,425.2363967895508
11,320.6774139404297,425.23998260498047
12,321.1635971069336,425.2609634399414
13,321.65225982666016,425.26145935058594
14,322.16514587402344,425.26126861572266
15,322.65892028808594,425.2619934082031
16,323.1719207763672,425.2625274658203
17,323.6602783203125,425.2634811401367
18,324.16038513183594,425.2650833129883
19,324.6722412109375,425.2651596069336
20,325.16746520996094,425.2668762207031
21,325.6785202026367,425.72277069091797
22,326.1720275878906,425.7529830932617
23,326.7551040649414,425.2423858642578
24,327.2341537475586,425.2601623535156
25,327.6692199707031,425.7899856567383
26,328.20045471191406,425.46024322509766
27,328.66588592529297,425.4585647583008
28,329.16370391845703,425.4499053955078
29,329.67811584472656,425.1831817626953
30,330.1694107055664,425.18566131591797
31,330.6838607788086,425.19115447998047
32,331.1641311645508,425.2245330810547
33,331.2226867675781,425.8018493652344
34,330.69610595703125,425.8013916015625
35,330.2069854736328,425.8002471923828
36,329.6708297729492,425.80047607421875
37,329.19376373291016,425.80039978027344
38,328.67652893066406,425.80047607421875
39,328.1386947631836,425.7999038696289
40,327.6719665527344,425.8003234863281
41,327.10933685302734,425.79925537109375
42,326.61685943603516,425.7992172241211
43,326.1597442626953,425.7990264892578
44,325.63438415527344,425.79898834228516
45,325.14068603515625,425.7989501953125
46,324.65213775634766,425.7987594604492
47,324.197998046875,425.7987976074219
48,323.687744140625,425.7989501953125
49,323.15174102783203,425.7993698120117
50,322.6913070678711,425.7984924316406
51,322.1730422973633,425.7989501953125
52,321.68983459472656,425.7986831665039
53,321.18629455566406,425.79803466796875
54,320.65563201904297,425.7981872558594
55,320.1967239379883,425.79837799072266
56,319.65219497680664,425.79833984375
57,319.1297912597656,425.7987976074219
58,318.60090255737305,425.79811096191406
59,318.1465721130371,425.7982635498047
60,317.6872444152832,425.79883575439453
61,317.18122482299805,425.79837799072266
62,316.68413162231445,425.7982635498047
63,316.18249893188477,425.79830169677734
64,315.6524658203125,425.79833984375
65,315.19575119018555,425.79864501953125
66,315.1258850097656,426.25457763671875
67,315.58467864990234,426.25457763671875
68,316.10952377319336,426.3558578491211
69,316.6303062438965,426.35364532470703
70,317.1356964111328,426.3416290283203
71,317.6367950439453,426.33644104003906
72,318.1597709655762,426.3344192504883
73,318.65013122558594,426.3311004638672
74,319.1594696044922,426.32808685302734
75,319.6673011779785,426.3273620605469
76,320.1628112792969,426.3233184814453
77,320.6745910644531,426.32030487060547
78,321.16268157958984,426.31893157958984
79,321.65210723876953,426.31717681884766
80,322.1627426147461,426.3165283203125
81,322.6571273803711,426.3143539428711
82,323.17195892333984,426.278076171875
83,323.6611557006836,426.27811431884766
84,324.1600036621094,426.27830505371094
85,324.6728515625,426.27838134765625
86,325.16693115234375,426.2789535522461
87,325.6768035888672,426.27925872802734
88,326.1652374267578,426.27979278564453
89,326.6522979736328,426.27979278564453
90,327.16331481933594,426.2811279296875
91,327.6578140258789,426.2821960449219
92,328.172607421875,426.2833023071289
93,328.6586380004883,426.2847137451172
94,329.1606140136719,426.2866973876953
95,329.67369079589844,426.2872314453125
96,330.16685485839844,426.28868103027344
97,330.6782913208008,426.2891387939453
98,331.1672592163086,426.29032135009766
99,331.2281036376953,426.7449188232422
100,330.7371520996094,426.74537658691406
101,330.2245330810547,426.74617767333984
102,329.70645904541016,426.74949645996094
103,329.19933319091797,426.8337631225586
104,328.6885452270508,426.8744659423828
105,328.153076171875,426.8722152709961
106,327.6898193359375,426.8679428100586
107,327.1829605102539,426.83807373046875
108,326.6831588745117,426.8365478515625
109,326.1809539794922,426.834716796875
110,325.6516647338867,426.83189392089844
111,325.1955795288086,426.8302917480469
112,324.6486282348633,426.82823181152344
113,324.13135528564453,426.8241500854492
114,323.60435485839844,426.74842834472656
115,323.1477355957031,426.7543411254883
116,322.6877212524414,426.87294006347656
117,322.1830749511719,426.87171936035156
118,321.67823791503906,426.86710357666016
119,321.0990905761719,426.826171875
120,320.6425476074219,426.79744720458984
121,320.1271438598633,426.69864654541016
122,319.62411880493164,426.7586135864258
123,319.1259002685547,426.8736267089844
124,318.60626220703125,426.8347930908203
125,318.153018951416,426.8330764770508
126,317.6898384094238,426.83101654052734
127,317.1838188171387,426.8294906616211
128,316.6824150085449,426.82769775390625
129,316.18432998657227,426.8256378173828
130,315.67989349365234,426.80049896240234
131,315.1951217651367,426.69334411621094
132,315.12672424316406,427.24212646484375
133,315.6132698059082,427.2425842285156
134,316.1133575439453,427.26600646972656
135,316.63475036621094,427.2666931152344
136,317.1339225769043,427.27142333984375
137,317.6371192932129,427.3579406738281
138,318.1605529785156,427.35496520996094
139,318.65291595458984,427.3523712158203
140,319.1587448120117,427.35023498535156
141,319.6697235107422,427.34840393066406
142,320.1650619506836,427.3462677001953
143,320.67779541015625,427.3457717895508
144,321.1612319946289,427.34397888183594
145,321.6518783569336,427.34275817871094
146,322.1653747558594,427.3419952392578
147,322.6577377319336,427.34081268310547
148,323.1755065917969,427.33970642089844
149,323.6608123779297,427.3369598388672
150,324.16175842285156,427.3353576660156
151,324.6733093261719,427.30464935302734
152,325.1670455932617,427.30464935302734
153,325.67813873291016,427.3046112060547
154,326.16626739501953,427.30472564697266
155,326.7243957519531,427.30335235595703
156,327.23766326904297,427.30289459228516
157,327.6710510253906,427.2995376586914
158,328.1746292114258,427.2989273071289
159,328.66077423095703,427.2987365722656
160,329.1607666015625,427.29793548583984
161,329.6727752685547,427.2972869873047
162,330.16807556152344,427.29732513427734
163,330.6814193725586,427.29618072509766
164,331.1629867553711,426.99092864990234
165,331.16249084472656,427.49000549316406
166,330.6875228881836,428.04927825927734
167,330.2065658569336,427.9640579223633
168,329.67369079589844,427.96260833740234
169,329.19395446777344,427.9600143432617
170,328.6869430541992,427.60921478271484
171,328.15345764160156,427.5741958618164
172,327.68760681152344,427.59899139404297
173,327.1812438964844,427.60257720947266
174,326.68373107910156,427.6162338256836
175,326.1815643310547,427.63240814208984
176,325.6538772583008,427.6402282714844
177,325.19630432128906,428.314208984375
178,324.6562957763672,428.29307556152344
179,324.1647720336914,427.9584503173828
180,323.6757278442383,427.7135467529297
181,323.13201904296875,427.7241516113281
182,322.6182174682617,427.7248001098633
183,322.1091842651367,427.76145935058594
184,321.6374969482422,427.7632141113281
185,321.10008239746094,428.4175491333008
186,320.6439971923828,428.0299377441406
187,320.12664794921875,427.962646484375
188,319.6588897705078,427.60101318359375
189,319.13000106811523,427.61234283447266
190,318.6050033569336,427.9529571533203
191,318.1511688232422,427.95948028564453
192,317.6861381530762,427.9570770263672
193,317.183780670166,427.68775939941406
194,316.6839027404785,427.59159088134766
195,316.1827278137207,427.59777069091797
196,315.6542778015137,427.60204315185547
197,315.196475982666,427.6142120361328
198,315.1210021972656,428.3063507080078
199,315.5892753601074,428.30406188964844
200,316.13672256469727,428.30284118652344
201,316.6470718383789,428.3022689819336
202,317.1543884277344,428.30150604248047
203,317.6500701904297,428.30150604248047
204,318.1670951843262,428.3005905151367
205,318.65745544433594,428.30078125
206,319.1599464416504,428.30089569091797
207,319.67063903808594,428.30089569091797
208,320.16536712646484,428.3001708984375
209,320.6761169433594,428.2999801635742
210,321.1646270751953,428.3000946044922
211,321.6522979736328,428.30013275146484
212,322.1649169921875,428.29978942871094
213,322.6570129394531,428.3000183105469
214,323.1734848022461,428.3000946044922
215,323.6604690551758,428.2992935180664
216,324.1611862182617,428.29925537109375
217,324.6729278564453,428.29925537109375
218,325.16773223876953,428.2994842529297
219,325.68214416503906,428.29925537109375
220,326.17115020751953,428.2990264892578
221,326.7540740966797,428.2987594604492
222,327.2323226928711,428.2987976074219
223,327.7376174926758,428.2988739013672
224,328.1989288330078,428.2981872558594
