Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
094003397,s,0.0,0.0,0.0,0.0
094003397,G1,600,889,1361,2318,874,572,797,1044
094003397,G2,553,871,2051,802,763,586,808,1047
094003413,G3,590,869,2246,3252,810,888,826,1056
094003414,G4,597,982,962,1165,511,551,798,1036
094003470,G1,601,874,1365,2181,866,569,796,1043
094003475,G2,553,867,1835,801,762,587,806,1046
094003479,G3,594,869,3655,3607,812,933,824,1053
094003481,G4,597,952,951,1042,970,549,797,1035
2025-02-27 09:40:03,W,0.0,0.0,0.0,0.0
094003625,s,0.0,0.0,0.0,0.0
094003625,G1,600,881,1489,1825,860,571,797,1044
094003625,G2,553,870,2241,839,762,581,804,1046
094003641,G3,593,873,3949,2843,811,877,825,1053
094003644,G4,597,937,937,1090,935,550,797,1035
094003695,G1,604,881,1525,1825,866,570,797,1043
094003695,G2,553,874,1974,807,763,584,810,1048
094003695,G3,591,872,2521,2480,812,939,826,1054
094003711,G4,596,951,942,1093,977,550,797,1036
2025-02-27 09:40:03,W,0.0,0.0,0.0,0.0
094003857,s,0.0,0.0,0.0,0.0
094003857,G1,603,887,1511,1886,869,570,797,1046
094003857,G2,552,873,1873,824,763,583,805,1047
094003857,G3,593,874,2740,2523,816,868,829,1056
094003871,G4,600,953,949,1245,756,551,798,1037
094003928,G1,601,881,1396,2523,860,570,797,1044
094003928,G2,552,873,1865,819,763,584,808,1047
094003933,G3,593,866,2220,3179,816,921,826,1054
094003933,G4,597,970,941,1187,982,551,798,1036
2025-02-27 09:40:03,W,0.0,0.0,0.0,0.0
094004090,s,0.0,0.0,0.0,0.0
094004090,G1,604,881,1680,2092,873,570,797,1043
094004094,G2,553,873,2141,837,762,582,806,1045
094004094,G3,594,870,2647,2611,813,851,830,1058
094004099,G4,596,969,941,1271,965,552,800,1038
094004144,G1,603,893,1554,1663,858,572,797,1045
094004160,G2,553,873,1688,818,762,584,805,1048
094004161,G3,594,869,2594,2228,813,953,828,1058
094004161,G4,595,977,936,1203,511,551,798,1036
2025-02-27 09:40:04,W,0.0,0.0,0.0,0.0
094004308,s,0.0,0.0,0.0,0.0
094004308,G1,603,886,1372,2854,873,573,798,1045
094004308,G2,553,873,1899,821,763,585,804,1047
094004325,G3,593,873,2837,2066,816,1146,826,1058
094004327,G4,596,872,940,1303,758,550,797,1035
094004380,G1,605,887,1782,2218,868,572,797,1045
094004380,G2,553,873,1841,840,762,586,805,1050
094004380,G3,596,872,3505,2855,811,926,831,1054
094004394,G4,598,994,936,1276,1024,551,798,1036
2025-02-27 09:40:04,W,0.0,0.0,0.0,0.0
094004541,s,0.0,0.0,0.0,0.0
094004541,G1,601,889,1629,2090,884,572,797,1047
094004541,G2,553,877,1985,857,763,585,806,1047
094004541,G3,594,875,3173,1613,819,955,831,1056
094004555,G4,597,939,927,1120,1024,551,797,1037
094004611,G1,602,893,1685,1573,869,571,798,1046
094004611,G2,553,873,1893,836,764,588,806,1051
094004611,G3,600,873,2782,2524,813,1050,837,1058
094004611,G4,597,989,950,1318,1072,552,796,1036
2025-02-27 09:40:04,W,0.0,0.0,0.0,0.0
094004774,s,0.0,0.0,0.0,0.0
094004774,G1,600,889,1895,1769,859,571,797,1048
094004777,G2,553,873,1837,870,763,586,803,1047
094004777,G3,596,873,2651,2007,818,1049,831,1061
094004777,G4,601,954,970,1209,1113,552,799,1036
094004828,G1,604,884,1437,1914,857,570,798,1048
094004844,G2,552,874,1974,892,763,587,808,1049
094004844,G3,598,868,2477,2930,814,1053,830,1058
094004844,G4,600,985,954,1317,1037,552,797,1036
2025-02-27 09:40:04,W,0.0,0.0,0.0,0.0
094004992,s,0.0,0.0,0.0,0.0
094004992,G1,605,890,1545,2984,861,572,797,1045
094004992,G2,553,881,2193,880,763,592,808,1050
094005007,G3,596,872,2409,2517,815,1279,829,1061
094005012,G4,599,1045,957,1309,1125,551,799,1036
094005061,G1,605,893,1669,3002,868,573,798,1046
094005061,G2,553,882,1970,844,763,594,805,1050
094005061,G3,597,873,3086,2237,819,1180,831,1059
094005078,G4,600,511,954,1357,1033,552,799,1036
2025-02-27 09:40:05,W,0.0,0.0,0.0,0.0
094005209,s,0.0,0.0,0.0,0.0
094005209,G1,609,872,1752,2559,866,573,798,1048
094005209,G2,553,882,1993,850,763,592,807,1048
094005225,G3,598,873,2609,2503,821,1377,828,1067
094005229,G4,600,1041,937,1094,1064,552,797,1036
094005277,G1,609,862,2141,1722,859,574,798,1048
094005277,G2,553,881,1737,865,763,599,804,1048
094005277,G3,594,873,2049,1814,822,1258,830,1064
094005295,G4,600,1045,968,1393,1085,552,800,1037
2025-02-27 09:40:05,W,0.0,0.0,0.0,0.0
094005456,s,0.0,0.0,0.0,0.0
094005456,G1,610,892,1741,3117,884,574,798,1048
094005456,G2,553,871,2194,874,763,593,808,1051
094005456,G3,597,876,2836,1715,821,1105,830,1059
094005467,G4,601,1086,934,1225,1100,552,800,1037
094005511,G1,609,894,2089,1918,873,571,798,1048
094005528,G2,553,872,2529,886,762,587,808,1051
094005531,G3,599,874,2160,2424,819,1047,825,1061
094005534,G4,602,1040,980,1321,1079,552,800,1037
2025-02-27 09:40:05,W,0.0,0.0,0.0,0.0
094005674,s,0.0,0.0,0.0,0.0
094005674,G1,610,897,1816,2048,882,573,798,1049
094005690,G2,553,882,2559,876,763,591,806,1049
094005690,G3,598,873,2498,2312,819,1265,831,1063
094005695,G4,600,1041,970,1342,1097,552,800,1036
094005744,G1,605,907,2100,2107,873,572,798,1049
