Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
103650077,s,0.0,0.0,0.0,0.0
103650077,G1,600,873,1798,2501,882,573,796,1049
103650077,G2,553,873,3330,827,764,585,800,1053
103650077,G3,598,862,3370,2093,830,1551,832,1058
103650077,G4,595,937,947,843,1041,553,798,1037
103650144,G1,600,881,1980,1954,873,573,796,1047
103650144,G2,553,873,2872,830,763,601,800,1053
103650144,G3,595,865,2535,1947,825,1701,831,1062
103650144,G4,597,941,941,871,1078,553,797,1038
2025-02-27 10:36:50,W,0.0,0.0,0.0,0.0
103650293,s,0.0,0.0,0.0,0.0
103650293,G1,598,882,1986,2675,889,572,796,1050
103650293,G2,553,876,2369,850,763,593,801,1056
103650293,G3,594,870,2023,2229,821,1279,828,1062
103650305,G4,595,938,939,854,1107,553,798,1039
103650362,G1,599,877,1677,2680,905,571,797,1051
103650362,G2,553,881,3074,874,764,598,800,1056
103650362,G3,595,866,2322,1500,822,1577,831,1060
103650362,G4,594,930,945,882,1190,553,798,1040
2025-02-27 10:36:50,W,0.0,0.0,0.0,0.0
103650525,s,0.0,0.0,0.0,0.0
103650525,G1,600,881,1831,2433,928,572,796,1051
103650525,G2,553,873,2805,866,764,600,802,1054
103650525,G3,597,866,2637,2159,826,2107,835,1063
103650533,G4,596,944,952,910,1342,554,798,1040
103650579,G1,600,875,1627,1970,908,573,796,1050
103650594,G2,553,873,2205,859,763,593,802,1056
103650597,G3,594,869,2358,2180,823,1762,832,1061
103650599,G4,598,937,952,871,1225,553,798,1039
2025-02-27 10:36:50,W,0.0,0.0,0.0,0.0
103650727,s,0.0,0.0,0.0,0.0
103650727,G1,601,881,2021,2841,924,572,796,1051
103650743,G2,553,877,2471,840,762,596,802,1057
103650743,G3,597,874,2436,1570,822,1468,832,1061
103650749,G4,595,913,981,929,1320,553,798,1040
103650795,G1,601,881,2617,2958,921,571,797,1049
103650810,G2,552,874,1782,871,763,601,802,1054
103650813,G3,595,873,2282,2126,826,1862,836,1062
103650815,G4,601,930,962,937,1261,554,798,1040
2025-02-27 10:36:50,W,0.0,0.0,0.0,0.0
103650942,s,0.0,0.0,0.0,0.0
103650942,G1,602,881,1689,1941,932,574,797,1050
103650958,G2,553,871,2234,852,764,592,804,1056
103650958,G3,599,869,2869,1770,825,1877,840,1062
103650965,G4,600,903,969,977,1468,554,798,1041
103651012,G1,601,885,1834,1776,916,575,797,1050
103651012,G2,553,873,1609,855,763,600,803,1056
103651028,G3,596,873,2365,1930,826,2132,837,1061
103651028,G4,597,929,957,934,1386,554,799,1042
